num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1955	3012.199787	126.323804	6.751213	-1.531335	45.624706
1957	3014.267684	125.959945	2.413635	-1.519672	44.189580
1959	3016.335289	126.827799	7.718246	-1.533330	44.073517
1961	3018.402205	123.222359	5.033124	-1.523369	43.814830
1963	3020.468600	122.629942	5.077944	-1.523236	44.677921
1965	3022.535085	120.676574	5.356573	-1.525533	43.490553
1967	3024.601402	122.840660	4.885044	-1.523764	43.819654
1969	3026.667499	122.338777	4.911788	-1.529172	43.880587
1971	3028.733813	123.827353	3.100787	-1.514689	43.188950
1973	3030.799668	125.154453	7.826158	-1.528003	43.298300
1975	3032.865207	123.948177	3.573074	-1.508194	43.008176
1977	3034.930415	124.061417	3.237831	-1.513715	42.655123
1979	3036.995055	124.153313	3.465972	-1.507478	43.530792
1981	3039.059677	124.046868	3.269313	-1.505326	42.979750
1983	3041.124409	124.426379	8.290478	-1.515643	42.883111
1985	3043.189602	121.310227	5.514063	-1.508490	42.618163
1987	3045.255359	120.560006	5.821716	-1.503572	42.364977
1989	3047.321906	123.338085	8.178652	-1.511835	42.050432
1991	3049.388961	120.234791	5.917922	-1.508284	42.126269
1993	3051.456601	119.339098	5.997836	-1.498737	42.110968
1995	3053.524519	119.740087	6.091550	-1.501302	42.975525
1997	3055.592328	122.751446	8.885765	-1.512350	42.411398
1999	3057.659878	119.525826	6.242033	-1.507396	42.001602
2001	3059.726957	121.469817	4.461763	-1.489338	41.470155
2003	3061.793997	121.733347	8.937512	-1.502628	41.664627
2005	3063.860805	118.503275	6.573396	-1.497189	41.320233
2007	3065.927034	123.011418	10.010496	-1.504840	42.168991
2009	3067.993394	120.765078	4.691177	-1.491119	41.163014
2011	3070.059744	120.622858	4.828909	-1.488434	41.084804
2013	3072.125795	122.111178	10.273984	-1.502553	41.151601
2015	3074.191562	120.566731	4.928679	-1.480422	41.002333
2017	3076.256989	121.763963	10.541815	-1.497878	40.819808
2019	3078.322176	118.089521	7.268644	-1.487544	40.706520
2021	3080.387033	120.611275	9.635803	-1.491518	41.680651
2023	3082.451830	119.686244	5.731225	-1.469589	40.207958
2025	3084.516514	119.615239	5.636725	-1.480915	39.923390
2027	3086.581623	117.280200	7.220122	-1.474284	40.186855
2029	3088.647100	118.306775	6.402865	-1.460371	40.236671
2031	3090.713095	118.713248	5.753067	-1.468841	40.468906
2033	3092.779718	116.963489	7.633914	-1.479385	42.100936
2037	3096.914289	116.562818	7.594800	-1.475969	39.750384
2039	3098.981886	117.971810	6.015247	-1.468002	39.752148
2041	3101.049541	117.629552	6.213698	-1.462814	39.171603
2043	3103.117130	116.538978	7.833296	-1.473457	38.556752
2045	3105.184382	118.024844	5.968754	-1.462846	38.702619
2047	3107.251425	118.217327	11.099225	-1.465636	38.484294
2049	3109.318056	117.595011	10.918301	-1.462553	39.670042
2051	3111.384454	114.999757	8.447930	-1.467989	39.022241
2053	3113.450744	118.265727	11.411040	-1.464024	38.156789
2055	3115.516844	116.513771	6.661613	-1.453151	37.806934
2057	3117.582882	114.680735	8.584372	-1.459200	38.720084
2059	3119.648215	116.378006	6.928072	-1.448101	36.822211
2061	3121.713979	116.302966	6.922527	-1.446983	37.541001
2063	3123.779287	115.743189	7.258615	-1.445344	37.544395
2065	3125.844319	115.734017	7.268937	-1.444521	37.874244
2067	3127.909134	115.808956	7.422287	-1.441185	38.065669
2069	3129.974008	115.876779	7.109078	-1.437620	37.964315
2071	3132.038860	114.314698	9.020696	-1.441749	36.777619
2073	3134.103951	115.239100	7.395384	-1.434497	37.092069
2075	3136.169265	113.346351	9.216069	-1.434201	36.858324
2077	3138.234987	112.871446	9.370796	-1.433309	36.415381
2079	3140.301361	115.673497	12.599988	-1.435618	37.900144
2081	3142.367650	112.937265	9.539629	-1.428333	37.689059
2083	3144.434853	112.203168	9.694666	-1.428583	37.476718
2085	3146.501938	114.118138	8.016864	-1.424600	37.456050
2087	3148.568946	112.060678	9.949350	-1.422142	36.703291
2089	3150.636386	111.334867	9.848489	-1.416990	37.533803
2091	3152.703325	113.814434	8.470598	-1.413665	36.830195
2093	3154.770230	115.050919	13.314034	-1.425959	36.186897
2095	3156.836937	112.934471	8.676425	-1.410687	36.898483
2097	3158.903463	113.674172	13.276763	-1.415744	37.045736
2099	3160.969739	111.560914	10.522384	-1.414030	36.933710
2101	3163.035820	112.525061	8.922263	-1.406843	35.968158
2103	3165.101669	112.737144	9.029057	-1.404155	35.912496
2105	3167.167327	113.538419	13.822974	-1.411100	35.566709
2107	3169.232622	111.809292	9.612210	-1.392265	35.633521
2109	3171.298120	111.931381	9.410102	-1.399033	35.616570
2111	3173.363296	113.138118	14.127045	-1.405732	36.760374
2113	3175.428215	110.654919	11.002542	-1.394538	34.606495
2115	3177.493525	109.694497	11.239343	-1.393007	35.097604
2117	3179.558661	110.080999	11.074585	-1.389726	35.442174
2119	3181.623952	109.793988	11.426869	-1.389202	34.890664
2121	3183.689576	110.499678	10.332939	-1.379034	34.686538
2123	3185.755772	110.554254	10.097224	-1.380930	34.963414
2125	3187.821890	109.096186	11.743066	-1.383295	32.855291
2127	3189.888557	111.436705	9.788808	-1.382642	33.304404
2129	3191.955345	110.411625	10.066947	-1.374638	32.679270
2131	3194.022077	110.062462	10.145772	-1.375002	33.245417
2133	3196.089116	112.186685	16.926834	-1.385370	32.318705
2135	3198.156532	108.889004	12.091511	-1.375385	32.510058
